game_pk,pitcher_id,game_date,pitcher_name,strikeouts,swinging_strikes,total_pitches,avg_velocity,avg_spin_rate,swstr_pct,rolling_k,rolling_swstr,rolling_velocity,rolling_pitches
824444,676440,2026-05-09,"Bibee, Tanner",9,20,98,88.19183673469387,2193.091836734694,0.20408163265306123,4.4,0.11176959995296158,86.9520283434025,90.8
824439,676440,2026-05-15,"Bibee, Tanner",2,8,96,87.753125,2200.3229166666665,0.08333333333333333,5.4,0.1375321630427136,86.99082579786815,91.8
824273,676440,2026-05-20,"Bibee, Tanner",5,8,104,89.21538461538461,2214.6634615384614,0.07692307692307693,4.8,0.12086549637604696,87.28499246453482,91.8
824437,676440,2026-05-25,"Bibee, Tanner",3,7,61,88.33278688524591,2227.3934426229507,0.11475409836065574,5.2,0.1173027433396097,87.79649044024332,93.6
824430,676440,2026-05-31,"Bibee, Tanner",5,11,90,88.53777777777778,2273.034090909091,0.12222222222222222,4.6,0.11659764903324624,88.31057469901293,87.2
822891,676440,2026-06-06,"Bibee, Tanner",3,4,87,87.62183908045978,2342.9655172413795,0.04597701149425287,4.8,0.12026287269846989,88.40618220262043,89.8
824425,676440,2026-06-12,"Bibee, Tanner",8,13,91,89.24835164835166,2235.1428571428573,0.14285714285714285,3.6,0.08864194846670823,88.2921826717736,87.6
824179,676440,2026-06-19,"Bibee, Tanner",7,8,95,88.81263157894738,2396.7263157894736,0.08421052631578947,4.8,0.10054671037147012,88.59122800144395,86.6
824583,676440,2026-06-24,"Bibee, Tanner",2,7,89,88.8123595505618,2308.044943820225,0.07865168539325842,5.2,0.10200420025001264,88.5106773941565,84.8
824418,676440,2026-06-30,"Bibee, Tanner",2,5,91,87.78021978021978,2356.131868131868,0.054945054945054944,5.0,0.09478371765653318,88.60659192721968,90.4
824413,676440,2026-07-05,"Bibee, Tanner",1,7,62,87.96774193548387,2186.548387096774,0.11290322580645161,4.4,0.08132828420109971,88.45508032770809,90.6
