game_pk,pitcher_id,game_date,pitcher_name,home_away,team_id,team_name,opponent_id,opponent_name,strikeouts,swinging_strikes,total_pitches,avg_velocity,avg_spin_rate,swstr_pct,opponent_k_rate,rolling_k,rolling_swstr,rolling_velocity,rolling_pitches
822699,676917,2026-08-07,"Cavalli, Cade",home,120,Washington Nationals,113,Cincinnati Reds,8,19,100,91.329,2294.85,0.19,0.25296442687747034,5.6,0.08420406759194907,92.18676827924152,91.6
822696,676917,2026-08-13,"Cavalli, Cade",home,120,Washington Nationals,112,Chicago Cubs,10,13,103,91.41747572815534,2245.78640776699,0.1262135922330097,0.21673953778888194,6.2,0.1151452440625373,91.96127416159446,94.6
822860,676917,2026-08-19,"Cavalli, Cade",away,120,Washington Nationals,140,Texas Rangers,11,14,84,91.67023809523809,2231.440476190476,0.16666666666666666,0.22821929451763706,6.4,0.1151248046144024,91.73024299143606,96.2
824669,676962,2026-06-06,"Brown, Ben",home,112,Chicago Cubs,137,San Francisco Giants,5,7,87,91.22758620689656,2176.712643678161,0.08045977011494253,0.20888704318936877,5.8,0.14504911562392814,92.55968240692602,71.6
823213,676962,2026-06-13,"Brown, Ben",away,112,Chicago Cubs,137,San Francisco Giants,3,8,86,93.67441860465117,2126.1162790697676,0.09302325581395349,0.20817562452687358,6.2,0.12635846095126446,92.38519964830532,79.8
824663,676962,2026-06-19,"Brown, Ben",home,112,Chicago Cubs,141,Toronto Blue Jays,4,10,72,89.97361111111111,2194.1388888888887,0.1388888888888889,0.19572192513368983,5.4,0.11727080442174746,92.68316029231248,84.0
823230,676974,2026-04-26,"Meyer, Max",away,146,Miami Marlins,137,San Francisco Giants,5,7,77,91.44415584415584,2673.012987012987,0.09090909090909091,0.21267893660531698,5.6,0.14671764997944742,90.80505315705723,86.0
823876,676974,2026-05-02,"Meyer, Max",home,146,Miami Marlins,143,Philadelphia Phillies,7,12,83,91.40361445783132,2503.132530120482,0.14457831325301204,0.21264367816091953,5.6,0.13280070272916683,91.01264975798718,85.2
823870,676974,2026-05-07,"Meyer, Max",home,146,Miami Marlins,110,Baltimore Orioles,5,11,94,91.17234042553193,2545.8297872340427,0.11702127659574468,0.24251069900142652,5.8,0.13699726425617373,91.09247377314894,84.0
823710,676974,2026-05-13,"Meyer, Max",away,146,Miami Marlins,142,Minnesota Twins,9,22,96,90.63020833333333,2512.3333333333335,0.22916666666666666,0.22744128553770088,6.0,0.14201071497762152,91.03728668584154,85.4
